Name;Birthdate;Country
Georgia Bonora;19.05.1990;Australia
Ashleigh Brennan;18.01.1991;Australia
Daria Joura;02.05.1990;Australia
Emily Little;29.03.1994;Australia
Lauren Mitchell;23.07.1991;Australia
Monette Russo;04.08.1988;Australia
Lisa Skinner;17.02.1981;Australia
Allana Slater;03.04.1984;Australia
Yulia Inshina;15.04.1995;Azerbaijan
Anna Pavlova;06.09.1987;Azerbaijan
Svetlana Boguinskaya;19.02.1973;Belarus
Nellie Kim;29.07.1957;Belarus
Olga Korbut;16.05.1955;Belarus
Rebeca Andrade;08.05.1999;Brazil
Jade Barbosa;01.07.1991;Brazil
Daniele Hypólito;08.09.1984;Brazil
Lorrane Oliveira;13.04.1998;Brazil
Daiane dos Santos;10.02.1983;Brazil
Flávia Saraiva;30.09.1999;Brazil
Ellie Black;09.08.1995;Canada
Elyse Hopfner-Hibbs;12.09.1989;Canada
Victoria Moors;05.11.1996;Canada
Kate Richardson;27.06.1984;Canada
Elfi Schlegel;17.05.1964;Canada
Eva Bosáková;;Czechoslovakia
V_ra _áslavská;03.05.1942;Czechoslovakia
Vlasta D_kanová;05.09.2009;Czechoslovakia
Jana Komrsková;06.05.1983;Czechoslovakia
Cheng Fei;29.05.1988;China
Deng Linlin;21.04.1992;China
Fan Ye;22.10.1986;China
Fan Yilin;11.11.1999;China
He Kexin;01.01.1992;China
He Ning;13.11.1990;China
Kui Yuanyuan;23.06.1981;China
Li Li;26.02.1975;China
Li Shanshan;31.08.1996;China
Li Ya;13.06.1988;China
Liu Xuan;12.03.1979;China
Lu Li;;China
Jiang Yuyuan;01.11.1991;China
Ma Yanhong;;China
Mo Huilan;11.07.1979;China
Shang Chunsong;18.03.1996;China
Sang Lan;;China
Sui Lu;01.04.1992;China
Wang Yan;30.10.1999;China
Xiao Sha;15.06.1992;China
Yang Yilin;26.08.1991;China
Yao Jinnan;08.02.1995;China
Zhang Nan;30.04.1986;China
Zhou Zhuoru;14.09.1988;China
Yamilet Peña;14.12.1992;Dominican Republic
Ludivine Furnon;04.10.1980;France
Émilie Le Pennec;31.12.1987;France
Elvire Teza;23.03.1981;France
Daria Bijak;12.11.1985;Germany
Anja Brinker;18.01.1991;Germany
Karin Büttner-Janz;17.02.1952;Germany
Oksana Chusovitina;19.06.1975;Germany
Maxi Gnauck;10.10.1964;Germany
Dagmar Kersten;28.10.1970;Germany
