Name,Sex,Country,Date of Birth
"Abdi, Bashir",Men,Belgium,10-Feb-89
"Abdulkadir, Dalila",Women,Bahrain,27-Jun-98
"Abe, Takatoshi",Men,Japan,12-Nov-91
"Abera, Tesfaye",Men,Ethiopia,31-Mar-92
"Abreha, Azmera",Women,Ethiopia,1998
"Adamu, Birtukan",Women,Ethiopia,29-Apr-92
"Adekoya, Oluwakemi",Women,Bahrain,16-Jan-93
"Adola, Guye",Men,Ethiopia,20-Oct-90
"Afanaseva, Klavdiia",Women,Authorised Neutral Athlete,15-Jan-96
"Afework, Abebech",Women,Ethiopia,11-Dec-90
"Afonin, Maksim",Men,Authorised Neutral Athlete,06-Jan-92
"Aga, Ruti",Women,Ethiopia,16-Jan-94
"Agai, Margaret",Women,Kenya,10-Jun-88
"Agnou, Caroline",Women,Switzerland,26-May-96
"Aguilar, Evelis",Women,Colombia,03-Jan-93
"Ahmed, Mohammed",Men,Canada,05-Jan-91
"Ahouanwanou, Odile",Women,Benin,05-Jan-91
"Ahouré, Murielle",Women,Cote D'ivoire,23-Aug-87
"Ahye, Michelle-Lee",Women,Trinidad And Tobago,10-Apr-92
"Aiyabei, Valary Jemeli",Women,Kenya,08-Jun-91
"Ajayi, Yinka",Women,Nigeria,11-Aug-97
"Akinosun, Morolake",Women,United States,17-May-94
"Akkaoui, Malika",Women,Morocco,25-Dec-87
"Al Mandeel, Abdulaziz",Men,Kuwait,22-May-89
"Alamirew, Yenew",Men,Ethiopia,27-May-90
"Alemu, Habitam",Women,Ethiopia,09-Jul-97
"Ali, Nia",Women,United States,23-Oct-88
"Alic, Hamza",Men,Bosnia-Herzegovina,20-Jan-79
"Alkana, Antonio",Men,South Africa,12-Apr-90
"Allen, Devon",Men,United States,12-Dec-94
"Allen, Nathon",Men,Jamaica,28-Oct-95
"Allman, Valarie",Women,United States,23-Feb-95
"Almanza, Rose Mary",Women,Cuba,13-Jul-92
"Amankwah, Alex",Men,Ghana,02-Mar-92
"Amare, Hailemariyam",Men,Ethiopia,22-Feb-97
"Amezcua, Alberto",Men,Spain,10-May-92
"Amlosom, Nguse",Men,Eritrea,10-Nov-86
"Amos, Nijel",Men,Botswana,15-Mar-94
"Amusan, Tobi",Women,Nigeria,23-Apr-97
"Anagnostopoúlou, Hrisóula",Women,Greece,27-Aug-91
"Anang, Naa",Women,Australia,10-Mar-95
"Anastasákis, Mihaíl",Men,Greece,03-Dec-94
"Anderson, Alexandria",Women,United States,28-Jan-87
"Ando, Yuka",Women,Japan,16-Mar-94
"Aouad, Zouhair",Men,Bahrain,07-Apr-89
"Apak, Esref",Men,Turkey,03-Jan-82
"Arafi, Rababe",Women,Morocco,12-Jan-91
"Arai, Hirooki",Men,Japan,18-May-88
"Arcanjo, Geisa",Women,Brazil,19-Sep-91
"Arenas, Sandra",Women,Colombia,17-Sep-93
"Arévalo, Eider",Men,Colombia,09-Mar-93
"Arita, Stephen Omiso",Men,Kenya,26-Jun-88
"Arnaudov, Tsanko",Men,Portugal,14-Mar-92
"Arndt, Mareike",Women,Germany,29-Jan-92
"Arrhenius, Niklas",Men,Sweden,10-Sep-82
"Arroyo, Andrés",Men,Puerto Rico,07-Jun-95
"Art, Arnaud",Men,Belgium,28-Jan-93
"Asefa, Sutume",Women,Ethiopia,11-Dec-94
"Asher-Smith, Dina",Women,Great Britain & N.I.,04-Dec-95
"Ashley, Whitney",Women,United States,18-Feb-89
"Assani Issouf, Jeanine",Women,France,17-Aug-92
"Assefa, Meskerem",Women,Ethiopia,20-Sep-85
"Assefa, Sofia",Women,Ethiopia,14-Nov-87
"Atnafu, Yitayal",Men,Ethiopia,20-Jan-93
"Augusto, Jessica",Women,Portugal,08-Nov-81
"Augustyn, Rafał",Men,Poland,14-May-84
"Ayana, Almaz",Women,Ethiopia,21-Nov-91
"Ayele, Abayneh",Men,Ethiopia,04-Nov-87
"Babayev, Nazim",Men,Azerbaijan,08-Oct-97
"Bacon, Jaylen",Men,United States,05-Aug-96
"Bahta, Meraf",Women,Sweden,24-Jun-89
"Bailey, Ramone",Men,Jamaica,31-Oct-91
"Baji, Balázs",Men,Hungary,09-Jun-89
"Baker, Ronnie",Men,United States,15-Oct-93
"Bakharev, Viktor",Men,Russia,05-May-94
"Bakulin, Sergey",Men,Russia,13-Nov-86
"Balew, Birhanu",Men,Bahrain,27-Feb-96
"Balner, Michal",Men,Czech Republic,12-Sep-82
"Baloyes, Bernardo",Men,Colombia,06-Jan-94
"Baltaci, Özkan",Men,Turkey,13-Feb-94
"Banzeruk, Ivan",Men,Ukraine,09-Feb-90
"Baptiste, Kelly-Ann",Women,Trinidad And Tobago,14-Oct-86
"Barber, Shawnacy",Men,Canada,27-May-94
"Barega, Selemon",Men,Ethiopia,20-Jan-00
"Bareisha, Pavel",Men,Belarus,16-Feb-91
"Barkach, Alfred Chelal",Men,Kenya,02-Mar-97
"Barnett, Tarasue",Women,Jamaica,09-Oct-93
"Barr, Thomas",Men,Ireland,24-Jul-92
"Barshim, Mutaz Essa",Men,Qatar,24-Jun-91
"Barsoton, Leonard Kiplimo",Men,Kenya,21-Oct-94
"Bartoletta, Tianna",Women,United States,30-Aug-85
"Bayer, Andrew",Men,United States,03-Feb-90
"Beard, Jessica",Women,United States,08-Jan-89
"Bednarek, Sylwester",Men,Poland,28-Apr-89
"Beitia, Ruth",Women,Spain,01-Apr-79
"Bekele, Helen",Women,Ethiopia,21-Nov-94
"Bekele, Kenenisa",Men,Ethiopia,13-Jun-82
"Bekele, Tadelech",Women,Ethiopia,11-Apr-91
"Bekele, Telahun Haile",Men,Ethiopia,13-May-99
"Belcher, Christopher",Men,United States,29-Jan-94
"Belete, Mimi",Women,Bahrain,09-Jun-88
"Belihu, Andamlak",Men,Ethiopia,20-Nov-98
"Belle, Tia-Adana",Women,Barbados,15-Jun-96
"Belo, Francisco",Men,Portugal,27-Mar-91
"Benard, Chris",Men,United States,04-Apr-90
"Bengtsson, Angelica",Women,Sweden,08-Jul-93
"Benjamin, Rai",Men,Antigua & Barbuda,27-Jul-97
"Bennett, Chris",Men,Great Britain & N.I.,17-Dec-89
"Beriso, Amane",Women,Ethiopia,13-Oct-91
"Berrabah, Yahya",Men,Morocco,13-Oct-81
"Berry, Gwen",Women,United States,29-Jun-89
"Bett, Kipyegon",Men,Kenya,01-Feb-98
"Bett, Nicholas Kiptonui",Men,Kenya,20-Dec-96
"Bettiche, Amina",Women,Algeria,14-Dec-87
"Beyo, Chala",Men,Ethiopia,18-Jan-96
"Bian, Ka",Women,Pr Of China,05-Jan-93
"Bian, Tongda",Men,Pr Of China,01-Apr-91
"Bigot, Quentin",Men,France,01-Dec-92
"Bingson, Amanda",Women,United States,20-Feb-90
"Bird-Smith, Dane",Men,Australia,15-Jul-92
"Birech, Jairus Kipchoge",Men,Kenya,14-Dec-92
"Birgen, Bethwell",Men,Kenya,06-Aug-88
"Birkinhead, Damien",Men,Australia,08-Apr-93
"Biryukova, Svetlana",Women,Russia,01-Apr-91
"Bishop, Melissa",Women,Canada,05-Aug-88
"Biwott, Robert",Men,Kenya,28-Jan-96
"Blake, Yohan",Men,Jamaica,26-Dec-89
"Blocki, Adrian",Men,Poland,11-Apr-90
"Bloomfield, Akeem",Men,Jamaica,11-Oct-97
"Boekelman, Melissa",Women,Netherlands,11-May-89
"Bolt, Usain",Men,Jamaica,21-Aug-86
"Bondarenko, Bohdan",Men,Ukraine,30-Aug-89
"Bonfim, Caio",Men,Brazil,19-Mar-91
"Bor, Hillary",Men,United States,22-Nov-89
"Borge, Sigrid",Women,Norway,03-Dec-95
"Borlée, Kevin",Men,Belgium,22-Feb-88
"Bosse, Pierre-Ambroise",Men,France,11-May-92
"Bougard, Erica",Women,United States,26-Jul-93
"Bouqantar, Soufiyan",Men,Morocco,30-Aug-93
"Bourrada, Larbi",Men,Algeria,10-May-88
"Bowie, Tori",Women,United States,27-Aug-90
"Bradshaw, Holly",Women,Great Britain & N.I.,02-Nov-91
"Brathwaite, Shane",Men,Barbados,08-Feb-90
"Braun, Pieter",Men,Netherlands,21-Jan-93
"Brazier, Donavan",Men,United States,15-Apr-97
"Brembach, Nils",Men,Germany,23-Feb-93
"Brisco, Mikiah",Women,United States,14-Jul-96
"Brodatskaya, Sofia",Women,Russia,24-Oct-94
"Broersen, Nadine",Women,Netherlands,29-Apr-90
"Brown, Aaliyah",Women,United States,06-Jan-95
"Brown, Aaron",Men,Canada,27-May-92
"Brown, Brittany",Women,United States,18-Apr-95
"Brown, Felicia",Women,United States,27-Oct-93
"Brown, Rodney",Men,United States,21-May-93
"Brugger, Mathias",Men,Germany,06-Aug-92
"Bryant, Ashley",Men,Great Britain & N.I.,17-May-91
"Brzozowski, Artur",Men,Poland,29-Mar-85
"Büchel, Selina",Women,Switzerland,26-Jul-91
"Büchler, Nicole",Women,Switzerland,17-Dec-83
"Bui, Thi Thu Thao",Women,Vietnam,29-Apr-92
"Bukowiecki, Konrad",Men,Poland,17-Mar-97
"Bulo, Shuru",Women,Ethiopia,27-Jun-98
"Burka, Gelete",Women,Ethiopia,23-Jan-86
"Burks, Quanesha",Women,United States,15-Mar-95
"Burrell, Cameron",Men,United States,11-Sep-94
"Burton, Rushelle",Women,Jamaica,04-Dec-97
"Bustamante, Luis",Men,Mexico,10-Jun-84
"Butchart, Andrew",Men,Great Britain & N.I.,14-Oct-91
"Butenko, Victor",Men,Authorised Neutral Athlete,10-Mar-93
"Bychkov, Igor",Men,Spain,07-Mar-87
"Caballero, Denia",Women,Cuba,13-Jan-90
"Cabecinha, Ana",Women,Portugal,29-Apr-84
"Cabral, Johnathan",Men,Canada,31-Dec-92
"Cáceres, Eusebio",Men,Spain,10-Sep-91
"Cachová, Kateřina",Women,Czech Republic,26-Feb-90
"Cadée, Erik",Men,Netherlands,15-Feb-84
"Calvert-Powell, Schillonie",Women,Jamaica,27-Jul-88
"Camacho-Quinn, Jasmine",Women,Puerto Rico,21-Aug-96
